(24063.312, 621.712)
(11019.008, 43527.120)
(44322.096, 31435.040)
(35618.128, 25446.512)
(36932.896, 22489.376)
(40998.048, 23444.512)
(5283.824, 18874.128)
(17562.272, 35102.704)
(40888.848, 4600.960)
(40060.384, 13893.152)
(32301.360, 46667.712)
(41667.808, 39049.920)
(40261.312, 18448.976)
(6250.608, 18281.536)
(3583.216, 34010.704)
(25584.832, 15290.912)
(47269.040, 42069.664)
(44630.768, 25238.304)
(26123.552, 44230.368)
(31555.888, 30576.000)
(22658.272, 11399.024)
(32013.072, 34312.096)
(3182.816, 18432.960)
(17671.472, 15197.728)
(18003.440, 14670.656)
(44856.448, 44425.472)
(38426.752, 43521.296)
(11735.360, 14680.848)
(6448.624, 43831.424)
(8661.744, 15213.744)
(21227.024, 36619.856)
(41318.368, 18287.360)
(18175.248, 35644.336)
(5484.752, 9975.056)
(40572.896, 40944.176)
(8422.960, 14005.264)
(38560.704, 13855.296)
(2070.432, 35810.320)
(15631.616, 1648.192)
(17819.984, 43955.184)
(21100.352, 26081.328)
(30430.400, 11946.480)
(461.552, 4378.192)
(30452.240, 38418.016)
(47488.896, 15711.696)
(42079.856, 43998.864)
(5660.928, 24291.904)
(10413.312, 32547.424)
(21751.184, 35827.792)
(44221.632, 21883.680)
(19913.712, 10694.320)
(14297.920, 43768.816)
(19232.304, 10187.632)
(22761.648, 26132.288)
(27249.040, 15151.136)
(3016.832, 665.392)
(2746.016, 28617.680)
(29772.288, 66.976)
(2018.016, 46558.512)
(20450.976, 18119.920)
(44617.664, 33352.592)
(6144.320, 27228.656)
(11825.632, 47392.800)
(1189.552, 8141.952)
(11391.744, 20443.696)
(43467.424, 37936.080)
(851.760, 24288.992)
(23064.496, 20318.480)
(16499.392, 36528.128)
(27096.160, 11878.048)
(19995.248, 12865.216)
(43407.728, 32024.720)
(35842.352, 30277.520)
(8466.640, 45243.744)
(40984.944, 14322.672)
(29779.568, 44517.200)
(25602.304, 8770.944)
(10548.720, 11844.560)
(28986.048, 9219.392)
(46829.328, 45267.040)
(40875.744, 30638.608)
(39077.584, 11832.912)
(36992.592, 35558.432)
(38894.128, 18702.320)
(17020.640, 45080.672)
(46421.648, 7655.648)
(13542.256, 30228.016)
(24631.152, 47400.080)
(6246.240, 25822.160)
(31669.456, 20344.688)
(4255.888, 32382.896)
(25000.976, 28096.432)
(31989.776, 28642.432)
(38611.664, 14044.576)
(22269.520, 20634.432)
(149.968, 15235.584)
(9781.408, 36009.792)
(11631.984, 30613.856)
(38806.768, 42471.520)
(26736.528, 43869.280)
